"Row Type,City name,City ID,Cost,Clicks,Impr,Cost/wt action,Weighted actions,Avg CPC,CTR,Avg pos"
",Galloway,1023709,0.00,0,13,,0.00,,0.0000,"
",West Milwaukee,9053119,9.90,2,75,4.95,2.00,4.95,0.0267,"
",Wilmington,1021374,29.64,7,132,14.82,2.00,4.23,0.0530,"
",Travis Air Force Base,1014344,0.00,0,5,,0.00,,0.0000,"
",Loma Linda,1013954,26.56,5,39,2.04,13.00,5.31,0.1282,"
",Tawas City,1019618,0.00,0,1,,0.00,,0.0000,"
",Wilsonville,1024603,5.99,3,10,1.50,4.00,2.00,0.3000,"
",Spencerport,1023390,9.32,2,9,1.33,7.00,4.66,0.2222,"
",McLean,1027213,9.40,3,14,3.13,3.00,3.13,0.2143,"
",Ridgewood,1022374,22.20,5,35,0.93,24.00,4.44,0.1429,"
",Mason,1023818,22.82,6,34,3.80,6.00,3.80,0.1765,"
",Bryn Mawr,1024702,13.72,3,22,6.86,2.00,4.57,0.1364,"
",Wilton Manors,9053177,30.21,5,30,3.36,9.00,6.04,0.1667,"
",Porterville,1014159,9.67,3,12,2.42,4.00,3.22,0.2500,"
",Fayetteville,1015349,17.45,4,38,1.45,12.00,4.36,0.1053,"
",Montevideo,1019977,7.34,2,27,,0.00,3.67,0.0741,"
",West Melbourne,9053118,13.23,3,47,1.89,7.00,4.41,0.0638,"
",Oceanside,1014085,19.03,4,48,1.00,19.00,4.76,0.0833,"
",Rootstown,1023970,3.58,1,3,1.19,3.00,3.58,0.3333,"
",Borrego Springs,1013608,0.00,0,4,,0.00,,0.0000,"
",Chester,1025525,0.00,0,4,,0.00,,0.0000,"
",Hinckley,1016555,4.95,1,8,,0.00,4.95,0.1250,"
",Jupiter,1015072,38.17,8,88,6.36,6.00,4.77,0.0909,"
",Lake Lure,1021180,0.00,0,7,,0.00,,0.0000,"
",Mantorville,1019954,4.76,1,5,4.76,1.00,4.76,0.2000,"
",Lakewood,9052284,25.45,7,52,1.70,15.00,3.64,0.1346,"
",Wailuku,1015618,0.00,0,10,,0.00,,0.0000,"
",Lafayette Hill,1024996,0.00,0,12,,0.00,,0.0000,"
",Hickory Hills,1016549,0.00,0,6,,0.00,,0.0000,"
",Exeter,9051920,3.84,1,11,3.84,1.00,3.84,0.0909,"
",Bad Axe,1019137,0.00,0,4,,0.00,,0.0000,"
",Lincoln,1013058,0.00,0,8,,0.00,,0.0000,"
",Port Neches,1026703,0.00,0,1,,0.00,,0.0000,"
",Immokalee,1015060,0.00,0,5,,0.00,,0.0000,"
",Windham,1014885,0.00,0,9,,0.00,,0.0000,"
",Woodbourne,9053194,23.38,5,17,2.60,9.00,4.68,0.2941,"
",Santa Clara,1026992,0.00,0,4,,0.00,,0.0000,"
",Brunswick,1015275,14.71,3,25,2.10,7.00,4.90,0.1200,"
",Denham Springs,1017963,8.86,2,27,1.77,5.00,4.43,0.0741,"
",Orting,1027697,3.76,1,4,3.76,1.00,3.76,0.2500,"
",Lafayette,1026041,0.00,0,8,,0.00,,0.0000,"
",Northwood,1023903,0.00,0,11,,0.00,,0.0000,"
",East Wenatchee,1027572,0.00,0,2,,0.00,,0.0000,"
